C000   4C   F5   C5    JMP    A:00    X:00    Y:00    P:24    SP:FD       BaseAddr:C5F5    IndirAddr:0000    Absolute
C5F5   00   A2   00    LDX    A:00    X:00    Y:00    P:26    SP:FD       BaseAddr:0000    IndirAddr:0000    Immediate
C5F7   00   86   00    STX    A:00    X:00    Y:00    P:26    SP:FD       BaseAddr:0000    IndirAddr:0000    Zero_page
C5F9   00   86   10    STX    A:00    X:00    Y:00    P:26    SP:FD       BaseAddr:0010    IndirAddr:0000    Zero_page
C5FB   00   86   11    STX    A:00    X:00    Y:00    P:26    SP:FD       BaseAddr:0011    IndirAddr:0000    Zero_page
C5FD   2D   00   C7    JSR    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:C72D    IndirAddr:0000    Absolute
C72D   00   EA   38    NOP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C72E   00   38   B0    SEC    A:00    X:00    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C72F   00   B0   04    BCS    A:00    X:00    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C735   00   EA   18    NOP    A:00    X:00    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C736   00   18   B0    CLC    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C737   00   B0   03    BCS    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C739   4C   40   C7    JMP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:C740    IndirAddr:0000    Absolute
C740   00   EA   38    NOP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C741   00   38   90    SEC    A:00    X:00    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C742   00   90   03    BCC    A:00    X:00    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C744   4C   4B   C7    JMP    A:00    X:00    Y:00    P:27    SP:FB       BaseAddr:C74B    IndirAddr:0000    Absolute
C74B   00   EA   18    NOP    A:00    X:00    Y:00    P:27    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C74C   00   18   90    CLC    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C74D   00   90   04    BCC    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C753   00   EA   A9    NOP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C754   00   A9   00    LDA    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C756   00   F0   04    BEQ    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C75C   00   EA   A9    NOP    A:00    X:00    Y:00    P:26    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
